XOC1, -99.08467204438222, 19.29795419665323, -99.08381049310324, 19.29688306210341, -99.08264503038618, 19.29767811891111, -99.08352298747832, 19.29876056236113, -99.08467204438222, 19.29795419665323
XOC2, -99.08297979441916, 19.29807745428417, -99.08412524101343, 19.29728124615955, -99.08325878067022, 19.29620755686404, -99.08212042230747, 19.29700457545547, -99.08297979441916, 19.29807745428417
XOC3, -99.08143785402677, 19.29390162775921, -99.08057764381390, 19.29284197491428, -99.07942997363664, 19.29364626601664, -99.08029434965303, 19.29471869918073, -99.08143785402677, 19.29390162775921
XOC4, -99.07943164817961, 19.29364505227785, -99.08057628097441, 19.29284174244569, -99.07969682141760, 19.29176876781081, -99.07856039962111, 19.29256741497564, -99.07943164817961, 19.29364505227785
XOC5, -99.07981015331832, 19.29337927059723, -99.07951246119811, 19.29301853922094, -99.07914328522351, 19.29328731760271, -99.07942911364690, 19.29364908497808, -99.07981015331832, 19.29337927059723
XOC6, -99.08386764426199, 19.29676073514912, -99.08347852959692, 19.29702604285716, -99.08376611418952, 19.29739203526323, -99.08415568060222, 19.29712601208193, -99.08386764426199, 19.29676073514912
XOC7, -99.08217963565247, 19.29470259410921, -99.08179815185862, 19.29498254095537, -99.08209973884638, 19.29533803210302, -99.08247622573209, 19.29505898432579, -99.08217963565247, 19.29470259410921
XOC8, -99.08107257497707, 19.29334358363704, -99.08069351474300, 19.29361183554886, -99.08098373951899, 19.29397559457066, -99.08136725855106, 19.29369850176662, -99.08107257497707, 19.29334358363704
XOC9, -99.07967059019194, 19.29161389974485, -99.07928338450985, 19.29189595710253, -99.07957454034001, 19.29225223046759, -99.07996050043371, 19.29197573236518, -99.07967059019194, 19.29161389974485
VIV1, -99.07810979656584, 19.28724733680594, -99.07611362699154, 19.28916360948731, -99.07811486554667, 19.29111556877423, -99.08010689210541, 19.28917854145066, -99.07810979656584,19.28724733680594
VIV2, -99.07753941836492, 19.28660647907132, -99.07549467920792, 19.28472856583894, -99.07350620577195, 19.28665398909577, -99.07552598304852, 19.28855959482111, -99.07753941836492,19.28660647907132
