Line ID, Lon. 1st electrode, Lat. 1st electrode, Lon. last electrode, Lat. last electrode, Lon. infty, Lat. infty
L1, -99.08293545062921, 19.29775728845579, -99.08211162536949, 19.29675392781886, -99.08423333333333, 19.29851666666667
L2, -99.08232573847160, 19.29656888363389, -99.08316301788547, 19.29756870904951, -99.08423333333333, 19.29851666666667
L3, -99.08253599693019, 19.29638844649092, -99.08337182181171, 19.29738627954068, -99.08423333333333, 19.29851666666667
L4, -99.08274299593556, 19.29621191496215, -99.08358854936817, 19.29719916173878, -99.08423333333333, 19.29851666666667
L5, -99.08295779364424, 19.29603099269208, -99.08380709756835, 19.29703152167375, -99.08495256306213, 19.29843033195452
L6, -99.08191465883434, 19.29689812781285, -99.08273421018767, 19.29790108068584, -99.08408248404439, 19.29854636557302
L7, -99.08173680576964, 19.29704394094210, -99.08256549830637, 19.29804324834770, -99.08408248404439, 19.29854636557302
L8, -99.08335039866796, 19.29613285595150, -99.08194180368973, 19.29733476455178, -99.08448515516444, 19.29757596672712
L9, -99.08219310053353, 19.29758775377704, -99.0835727389443, 19.296405780173620, -99.08448515516444, 19.29757596672712
L10, -99.08239552616115, 19.29783866826983, -99.08382621535657, 19.29670264012204, -99.08495447275080, 19.29816497064508
